prefix,vrf,tenant,site,vlan_group,vlan_vid,status,role,is_pool,description
10.0.0.0/24,npflan,,npflan,,,Active,Firewall Net,,
10.0.1.0/24,npflan,,npflan,,,Active,Services,,Network Services
10.0.11.0/24,npflan,,,,,Active,Wireless,,Wifi net til netværksteamet (Administrativt ude på dist punkterne)
10.1.11.0/24,npflan,,npflan,,,Active,Access,,Dist 1 - Vlan 11
10.1.12.0/24,npflan,,npflan,,,Active,Access,,Dist 1 - Vlan 12
10.1.13.0/24,npflan,,npflan,,,Active,Access,,Dist 1 - Vlan 13
10.1.14.0/24,npflan,,npflan,,,Active,Access,,Dist 1 - Vlan 14
10.1.15.0/24,npflan,,npflan,,,Active,Access,,Dist 1 - Vlan 15
10.1.16.0/24,npflan,,npflan,,,Active,Access,,Dist 1 - Vlan 16
10.1.17.0/24,npflan,,npflan,,,Active,Access,,Dist 1 - Vlan 17
10.1.18.0/24,npflan,,npflan,,,Active,Access,,Dist 1 - Vlan 18
10.1.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.1.250.0/24,npflan,,npflan,,,Active,,,CCTV
10.1.255.0/24,npflan,,npflan,,,Active,Management Access Points,,Dist 1 - Wireless MGMT
10.2.11.0/24,npflan,,npflan,,,Active,Access,,Dist 2 - Vlan 11
10.2.12.0/24,npflan,,npflan,,,Active,Access,,Dist 2 - Vlan 12
10.2.13.0/24,npflan,,npflan,,,Active,Access,,Dist 2 - Vlan 13
10.2.14.0/24,npflan,,npflan,,,Active,Access,,Dist 2 - Vlan 14
10.2.15.0/24,npflan,,npflan,,,Active,Access,,Dist 2 - Vlan 15
10.2.16.0/24,npflan,,npflan,,,Active,Access,,Dist 2 - Vlan 16
10.2.17.0/24,npflan,,npflan,,,Active,Access,,Dist 2 - Vlan 17
10.2.18.0/24,npflan,,npflan,,,Active,Access,,Dist 2 - Vlan 18
10.2.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.2.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.2.255.0/24,npflan,,npflan,,,Active,Management Access Points,,Dist 2 - Wireless MGMT
10.3.11.0/24,npflan,,npflan,,,Active,Access,,Dist 3 - Vlan 11
10.3.12.0/24,npflan,,npflan,,,Active,Access,,Dist 3 - Vlan 12
10.3.13.0/24,npflan,,npflan,,,Active,Access,,Dist 3 - Vlan 13
10.3.14.0/24,npflan,,npflan,,,Active,Access,,Dist 3 - Vlan 14
10.3.15.0/24,npflan,,npflan,,,Active,Access,,Dist 3 - Vlan 15
10.3.16.0/24,npflan,,npflan,,,Active,Access,,Dist 4 - Vlan 16
10.3.17.0/24,npflan,,npflan,,,Active,Access,,Dist 3 - Vlan 17
10.3.18.0/24,npflan,,npflan,,,Active,Access,,Dist 3 - Vlan 18
10.3.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.3.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.3.255.0/24,npflan,,npflan,,,Active,Management Access Points,,Dist 3 - Wireless MGMT
10.4.11.0/24,npflan,,npflan,,,Active,Access,,Dist 4 - Vlan 11
10.4.12.0/24,npflan,,npflan,,,Active,Access,,Dist 4 - Vlan 12
10.4.13.0/24,npflan,,npflan,,,Active,Access,,Dist 4 - Vlan 13
10.4.14.0/24,npflan,,npflan,,,Active,Access,,Dist 4 - Vlan 14
10.4.15.0/24,npflan,,npflan,,,Active,Access,,Dist 4 - Vlan 15
10.4.16.0/24,npflan,,npflan,,,Active,Access,,Dist 4 - Vlan 16
10.4.17.0/24,npflan,,npflan,,,Active,Access,,Dist 4 - Vlan 17
10.4.18.0/24,npflan,,npflan,,,Active,Access,,Dist 4 - Vlan 18
10.4.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.4.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.4.255.0/24,npflan,,npflan,,,Active,Management Access Points,,Dist 4 - Wireless Management
10.5.11.0/24,npflan,,npflan,,,Active,Access,,Dist 5 - Vlan 11
10.5.12.0/24,npflan,,npflan,,,Active,Access,,Dist 5 - Vlan 12
10.5.13.0/24,npflan,,npflan,,,Active,Access,,Dist 5 - Vlan 13
10.5.14.0/24,npflan,,npflan,,,Active,Access,,Dist 5 - Vlan 14
10.5.15.0/24,npflan,,npflan,,,Active,Access,,Dist 5 - Vlan 15
10.5.16.0/24,npflan,,npflan,,,Active,Access,,Dist 5 - Vlan 16
10.5.17.0/24,npflan,,npflan,,,Active,Access,,Dist 5 - Vlan 17
10.5.18.0/24,npflan,,npflan,,,Active,Access,,Dist 5 - Vlan 18
10.5.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.5.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.6.11.0/24,npflan,,npflan,,,Active,Access,,Dist 6 - Vlan 11
10.6.12.0/24,npflan,,npflan,,,Active,Access,,Dist 6 - Vlan 12
10.6.13.0/24,npflan,,npflan,,,Active,Access,,Dist 6 - Vlan 13
10.6.14.0/24,npflan,,npflan,,,Active,Access,,Dist 6 - Vlan 14
